[Branch 51 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 52 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 17
[Branch 53 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 54 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 55 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 56 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 57 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 58 | Profundidade 5] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 59 | Profundidade 6] Job 1 - Op 0 | Máquina: 0 | Início: 3 | Fim: 5 | Makespan parcial: 12
[Branch 60 | Profundidade 7] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 61 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 62 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 17
[Branch 63 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 64 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 65 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 66 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 67 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 68 | Profundidade 6] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 69 | Profundidade 7] Job 1 - Op 0 | Máquina: 0 | Início: 13 | Fim: 15 | Makespan parcial: 15
[Branch 70 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 15 | Fim: 16 | Makespan parcial: 16
[Branch 71 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 16 | Fim: 20 | Makespan parcial: 20
[Branch 72 | Profundidade 3] Job 1 - Op 0 | Máquina: 0 | Início: 3 | Fim: 5 | Makespan parcial: 5
[Branch 73 | Profundidade 4] Job 0 - Op 2 | Máquina: 2 | Início: 5 | Fim: 7 | Makespan parcial: 7
[Branch 74 | Profundidade 5] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 8
[Branch 75 | Profundidade 6] Job 1 - Op 2 | Máquina: 1 | Início: 8 | Fim: 12 | Makespan parcial: 12
[Branch 76 | Profundidade 7] Job 2 - Op 0 | Máquina: 1 | Início: 12 | Fim: 16 | Makespan parcial: 16
[Branch 77 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 16 | Fim: 19 | Makespan parcial: 19
[Branch 78 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 19 | Fim: 20 | Makespan parcial: 20
[Branch 79 | Profundidade 6] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 80 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 81 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 82 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 83 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 84 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 85 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 86 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 87 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 88 | Profundidade 5] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 89 | Profundidade 6] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 9
[Branch 90 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 91 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 92 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 93 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 94 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 95 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 96 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 97 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 98 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 99 | Profundidade 7] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 100 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
